semaine,n,taux_fraude,taux_alerte,tn,fp,fn,tp,accuracy,precision,rappel,pr_auc,roc_auc,seuil
1,3000,0.0436666666666666,0.276,2144,725,28,103,0.749,0.1243961352657004,0.7862595419847328,0.31853222321344,0.8509907167696806,0.03
2,3000,0.1123333333333333,0.566,1276,1387,26,311,0.529,0.1831566548881036,0.9228486646884272,0.3940397029721289,0.8241212973476512,0.03
3,3000,0.05566666666666667,0.274,2023,810,155,12,0.6783333333333333,0.014598540145985401,0.0718562874251497,0.035220275286852426,0.2781577684729376,0.03
